ts,pa
2020-09-08 03:19:27,100700
2020-09-08 03:20:27,100701
2020-09-08 03:21:27,100702
2020-09-08 03:22:27,100706
2020-09-08 03:23:27,100702
2020-09-08 03:24:27,100698
2020-09-08 03:25:27,100700
2020-09-08 03:26:27,100699
2020-09-08 03:27:27,100697
2020-09-08 03:28:27,100697
2020-09-08 03:29:27,100693
2020-09-08 03:30:27,100693
2020-09-08 03:31:27,100695
2020-09-08 03:32:27,100696
2020-09-08 03:33:27,100698
2020-09-08 03:34:27,100697
2020-09-08 03:35:27,100697
2020-09-08 03:36:27,100695
2020-09-08 03:37:27,100696
2020-09-08 03:38:27,100692
2020-09-08 03:39:27,100695
2020-09-08 03:40:27,100695
2020-09-08 03:41:27,100694
2020-09-08 03:42:27,100693
2020-09-08 03:43:27,100692
2020-09-08 03:44:27,100694
2020-09-08 03:45:27,100696
2020-09-08 03:46:27,100695
2020-09-08 03:47:27,100695
2020-09-08 03:48:27,100697
2020-09-08 03:49:27,100698
2020-09-08 03:50:27,100697
2020-09-08 03:51:27,100697
2020-09-08 03:52:27,100696
2020-09-08 03:53:27,100696
2020-09-08 03:54:27,100696
2020-09-08 03:55:27,100697
2020-09-08 03:56:27,100693
2020-09-08 03:57:27,100697
2020-09-08 03:58:27,100695
2020-09-08 03:59:27,100696
2020-09-08 04:00:27,100695
2020-09-08 04:01:27,100698
2020-09-08 04:02:27,100698
2020-09-08 04:03:27,100701
2020-09-08 04:04:27,100702
2020-09-08 04:05:28,100701
2020-09-08 04:06:28,100704
2020-09-08 04:07:28,100701
2020-09-08 04:08:28,100701
2020-09-08 04:09:28,100700
2020-09-08 04:10:28,100697
2020-09-08 04:11:28,100698
2020-09-08 04:12:28,100704
2020-09-08 04:13:28,100704
2020-09-08 04:14:28,100701
2020-09-08 04:15:28,100704
2020-09-08 04:16:28,100703
2020-09-08 04:17:28,100705
2020-09-08 04:18:28,100705
2020-09-08 04:19:28,100702
2020-09-08 04:20:28,100704
2020-09-08 04:21:28,100704
2020-09-08 04:22:28,100703
2020-09-08 04:23:28,100698
2020-09-08 04:24:28,100705
2020-09-08 04:25:28,100707
2020-09-08 04:26:28,100707
2020-09-08 04:27:28,100708
2020-09-08 04:28:28,100715
2020-09-08 04:29:28,100712
2020-09-08 04:30:28,100712
2020-09-08 04:31:28,100709
2020-09-08 04:32:28,100713
2020-09-08 04:33:28,100713
2020-09-08 04:34:28,100712
2020-09-08 04:35:28,100712
2020-09-08 04:36:28,100707
2020-09-08 04:37:28,100708
