ts,pa
2020-09-06 18:38:47,99933
2020-09-06 18:39:47,99934
2020-09-06 18:40:47,99936
2020-09-06 18:41:47,99938
2020-09-06 18:42:47,99935
2020-09-06 18:43:47,99939
2020-09-06 18:44:47,99942
2020-09-06 18:45:47,99941
2020-09-06 18:46:47,99942
2020-09-06 18:47:47,99942
2020-09-06 18:48:47,99943
2020-09-06 18:49:47,99944
2020-09-06 18:50:47,99941
2020-09-06 18:51:47,99944
2020-09-06 18:52:47,99944
2020-09-06 18:53:47,99946
2020-09-06 18:54:47,99951
2020-09-06 18:55:47,99953
2020-09-06 18:56:47,99954
2020-09-06 18:57:47,99957
2020-09-06 18:58:47,99955
2020-09-06 18:59:47,99954
2020-09-06 19:00:47,99953
2020-09-06 19:01:47,99948
2020-09-06 19:02:47,99947
2020-09-06 19:03:47,99950
2020-09-06 19:04:47,99952
2020-09-06 19:05:47,99952
2020-09-06 19:06:47,99949
2020-09-06 19:07:47,99952
2020-09-06 19:08:47,99950
2020-09-06 19:09:47,99954
2020-09-06 19:10:47,99952
2020-09-06 19:11:47,99956
2020-09-06 19:12:47,99955
2020-09-06 19:13:47,99954
2020-09-06 19:14:47,99954
2020-09-06 19:15:47,99956
2020-09-06 19:16:47,99959
2020-09-06 19:17:47,99959
2020-09-06 19:18:47,99960
2020-09-06 19:19:47,99959
2020-09-06 19:20:47,99962
2020-09-06 19:21:47,99962
2020-09-06 19:22:47,99961
2020-09-06 19:23:47,99964
2020-09-06 19:24:47,99966
2020-09-06 19:25:47,99966
2020-09-06 19:26:48,99969
2020-09-06 19:27:48,99964
2020-09-06 19:28:48,99963
2020-09-06 19:29:48,99964
2020-09-06 19:30:48,99965
2020-09-06 19:31:48,99961
2020-09-06 19:32:48,99965
2020-09-06 19:33:48,99965
2020-09-06 19:34:48,99969
2020-09-06 19:35:48,99971
2020-09-06 19:36:48,99971
2020-09-06 19:37:48,99973
2020-09-06 19:38:48,99978
2020-09-06 19:39:48,99978
2020-09-06 19:40:48,99981
2020-09-06 19:41:48,99980
2020-09-06 19:42:48,99981
2020-09-06 19:43:48,99982
2020-09-06 19:44:48,99985
2020-09-06 19:45:48,99983
2020-09-06 19:46:48,99982
2020-09-06 19:47:48,99982
2020-09-06 19:48:48,99979
2020-09-06 19:49:48,99981
2020-09-06 19:50:48,99981
2020-09-06 19:51:48,99980
2020-09-06 19:52:48,99979
2020-09-06 19:53:48,99983
2020-09-06 19:54:48,99980
2020-09-06 19:55:48,99982
2020-09-06 19:56:48,99981
2020-09-06 19:57:48,99981
2020-09-06 19:58:48,99982
2020-09-06 19:59:48,99983
2020-09-06 20:00:48,99987
2020-09-06 20:01:48,99991
2020-09-06 20:02:48,99995
2020-09-06 20:03:49,99998
