ts,pa
2020-09-07 00:00:53,100176
2020-09-07 00:01:53,100179
2020-09-07 00:02:53,100178
2020-09-07 00:03:53,100174
2020-09-07 00:04:53,100176
2020-09-07 00:05:53,100174
2020-09-07 00:06:53,100172
2020-09-07 00:07:53,100176
2020-09-07 00:08:53,100172
2020-09-07 00:09:54,100178
2020-09-07 00:10:54,100180
2020-09-07 00:11:54,100181
2020-09-07 00:12:54,100183
2020-09-07 00:13:54,100185
2020-09-07 00:14:54,100184
2020-09-07 00:15:54,100184
2020-09-07 00:16:54,100182
2020-09-07 00:17:54,100183
2020-09-07 00:18:54,100180
2020-09-07 00:19:54,100181
2020-09-07 00:20:54,100181
2020-09-07 00:21:54,100180
2020-09-07 00:22:54,100179
2020-09-07 00:23:54,100178
2020-09-07 00:24:54,100179
2020-09-07 00:25:54,100179
2020-09-07 00:26:54,100181
2020-09-07 00:27:54,100179
2020-09-07 00:28:54,100183
2020-09-07 00:29:54,100182
2020-09-07 00:30:54,100181
2020-09-07 00:31:54,100180
2020-09-07 00:32:54,100178
2020-09-07 00:33:54,100177
2020-09-07 00:34:54,100179
2020-09-07 00:35:54,100177
2020-09-07 00:36:54,100181
2020-09-07 00:37:54,100184
2020-09-07 00:38:54,100184
2020-09-07 00:39:54,100186
2020-09-07 00:40:54,100185
2020-09-07 00:41:54,100185
2020-09-07 00:42:54,100183
2020-09-07 00:43:54,100183
2020-09-07 00:44:54,100181
2020-09-07 00:45:54,100184
2020-09-07 00:46:54,100184
2020-09-07 00:47:54,100186
2020-09-07 00:48:54,100186
2020-09-07 00:49:54,100187
2020-09-07 00:50:54,100192
2020-09-07 00:51:54,100195
2020-09-07 00:52:54,100198
2020-09-07 00:53:54,100198
2020-09-07 00:54:54,100197
2020-09-07 00:55:54,100198
2020-09-07 00:56:54,100198
2020-09-07 00:57:54,100197
2020-09-07 00:58:54,100194
2020-09-07 00:59:54,100196
2020-09-07 01:00:54,100198
2020-09-07 01:01:54,100198
2020-09-07 01:02:54,100200
2020-09-07 01:03:54,100197
2020-09-07 01:04:54,100196
2020-09-07 01:05:54,100195
2020-09-07 01:06:54,100193
2020-09-07 01:07:54,100195
2020-09-07 01:08:54,100193
2020-09-07 01:09:54,100193
2020-09-07 01:10:54,100196
2020-09-07 01:11:54,100195
2020-09-07 01:12:54,100193
2020-09-07 01:13:54,100195
2020-09-07 01:14:55,100194
2020-09-07 01:15:55,100198
2020-09-07 01:16:55,100199
2020-09-07 01:17:55,100196
2020-09-07 01:18:55,100197
2020-09-07 01:19:55,100197
2020-09-07 01:20:55,100198
2020-09-07 01:21:55,100203
2020-09-07 01:22:55,100206
2020-09-07 01:23:55,100203
2020-09-07 01:24:55,100207
2020-09-07 01:25:55,100207
2020-09-07 01:26:55,100207
2020-09-07 01:27:55,100212
2020-09-07 01:28:55,100211
2020-09-07 01:29:55,100210
2020-09-07 01:30:55,100210
2020-09-07 01:31:55,100213
2020-09-07 01:32:55,100212
2020-09-07 01:33:55,100212
2020-09-07 01:34:55,100207
2020-09-07 01:35:55,100212
2020-09-07 01:36:55,100212
2020-09-07 01:37:55,100209
2020-09-07 01:38:55,100210
2020-09-07 01:39:55,100204
2020-09-07 01:40:55,100203
2020-09-07 01:41:55,100207
2020-09-07 01:42:55,100206
2020-09-07 01:43:55,100209
2020-09-07 01:44:55,100206
2020-09-07 01:45:55,100207
2020-09-07 01:46:55,100206
2020-09-07 01:47:55,100209
2020-09-07 01:48:55,100209
2020-09-07 01:49:55,100207
2020-09-07 01:50:55,100211
2020-09-07 01:51:55,100211
2020-09-07 01:52:55,100207
2020-09-07 01:53:55,100210
2020-09-07 01:54:55,100208
2020-09-07 01:55:55,100209
2020-09-07 01:56:56,100210
2020-09-07 01:57:56,100203
2020-09-07 01:58:56,100210
2020-09-07 01:59:56,100205
2020-09-07 02:00:56,100206
2020-09-07 02:01:56,100208
2020-09-07 02:02:56,100211
2020-09-07 02:03:56,100211
2020-09-07 02:04:56,100211
2020-09-07 02:05:56,100216
2020-09-07 02:06:56,100217
2020-09-07 02:07:56,100214
2020-09-07 02:08:56,100216
2020-09-07 02:09:56,100220
2020-09-07 02:10:56,100219
2020-09-07 02:11:56,100223
2020-09-07 02:12:56,100223
2020-09-07 02:13:56,100225
2020-09-07 02:14:56,100223
2020-09-07 02:15:56,100222
2020-09-07 02:16:56,100225
2020-09-07 02:17:56,100223
2020-09-07 02:18:56,100225
2020-09-07 02:19:56,100225
2020-09-07 02:20:56,100224
2020-09-07 02:21:56,100223
2020-09-07 02:22:56,100221
2020-09-07 02:23:56,100220
2020-09-07 02:24:56,100218
2020-09-07 02:25:56,100217
2020-09-07 02:26:56,100215
2020-09-07 02:27:56,100216
2020-09-07 02:28:56,100215
2020-09-07 02:29:56,100213
2020-09-07 02:30:56,100215
2020-09-07 02:31:56,100214
2020-09-07 02:32:56,100212
2020-09-07 02:33:56,100217
2020-09-07 02:34:56,100216
2020-09-07 02:35:56,100217
2020-09-07 02:36:56,100218
2020-09-07 02:37:56,100218
2020-09-07 02:38:56,100216
2020-09-07 02:39:57,100218
2020-09-07 02:40:57,100219
2020-09-07 02:41:57,100216
2020-09-07 02:42:57,100217
2020-09-07 02:43:57,100218
2020-09-07 02:44:57,100218
2020-09-07 02:45:57,100214
2020-09-07 02:46:57,100219
2020-09-07 02:47:57,100216
2020-09-07 02:48:57,100217
2020-09-07 02:49:57,100213
2020-09-07 02:50:57,100213
2020-09-07 02:51:57,100212
2020-09-07 02:52:57,100213
2020-09-07 02:53:57,100209
2020-09-07 02:54:57,100207
2020-09-07 02:55:57,100207
2020-09-07 02:56:57,100210
2020-09-07 02:57:57,100212
2020-09-07 02:58:57,100214
2020-09-07 02:59:57,100218
2020-09-07 03:00:57,100219
2020-09-07 03:01:57,100223
2020-09-07 03:02:57,100225
2020-09-07 03:03:57,100224
2020-09-07 03:04:57,100225
2020-09-07 03:05:57,100222
2020-09-07 03:06:57,100225
2020-09-07 03:07:57,100222
2020-09-07 03:08:57,100220
2020-09-07 03:09:57,100224
2020-09-07 03:10:57,100223
2020-09-07 03:11:57,100228
2020-09-07 03:12:57,100230
2020-09-07 03:13:57,100229
2020-09-07 03:14:57,100228
2020-09-07 03:15:57,100223
2020-09-07 03:16:57,100225
2020-09-07 03:17:57,100222
2020-09-07 03:18:57,100223
2020-09-07 03:19:57,100223
2020-09-07 03:20:57,100222
2020-09-07 03:21:57,100219
2020-09-07 03:22:57,100219
2020-09-07 03:23:58,100221
2020-09-07 03:24:58,100221
2020-09-07 03:25:58,100226
2020-09-07 03:26:58,100229
2020-09-07 03:27:58,100231
2020-09-07 03:28:58,100232
2020-09-07 03:29:58,100231
2020-09-07 03:30:58,100230
2020-09-07 03:31:58,100231
2020-09-07 03:32:58,100229
2020-09-07 03:33:58,100230
2020-09-07 03:34:58,100228
2020-09-07 03:35:58,100227
2020-09-07 03:36:58,100230
2020-09-07 03:37:58,100227
2020-09-07 03:38:58,100225
2020-09-07 03:39:58,100226
2020-09-07 03:40:58,100225
2020-09-07 03:41:58,100224
2020-09-07 03:42:58,100230
2020-09-07 03:43:58,100228
2020-09-07 03:44:58,100225
2020-09-07 03:45:58,100229
2020-09-07 03:46:58,100227
2020-09-07 03:47:58,100223
2020-09-07 03:48:58,100228
2020-09-07 03:49:58,100225
2020-09-07 03:50:58,100223
2020-09-07 03:51:58,100224
2020-09-07 03:52:58,100221
2020-09-07 03:53:58,100221
2020-09-07 03:54:58,100219
2020-09-07 03:55:58,100220
2020-09-07 03:56:58,100219
2020-09-07 03:57:58,100221
2020-09-07 03:58:58,100220
2020-09-07 03:59:58,100221
2020-09-07 04:00:58,100223
2020-09-07 04:01:58,100224
2020-09-07 04:02:58,100226
2020-09-07 04:03:58,100231
2020-09-07 04:04:58,100231
2020-09-07 04:05:58,100233
2020-09-07 04:06:58,100235
2020-09-07 04:07:58,100236
2020-09-07 04:08:58,100235
2020-09-07 04:09:58,100234
2020-09-07 04:10:58,100231
2020-09-07 04:11:58,100234
2020-09-07 04:12:58,100232
2020-09-07 04:13:58,100235
2020-09-07 04:14:58,100236
2020-09-07 04:15:58,100239
2020-09-07 04:16:58,100236
2020-09-07 04:17:58,100237
2020-09-07 04:18:58,100236
2020-09-07 04:19:58,100238
2020-09-07 04:20:58,100235
2020-09-07 04:21:58,100237
2020-09-07 04:22:58,100236
2020-09-07 04:23:59,100236
2020-09-07 04:24:59,100234
2020-09-07 04:25:59,100238
2020-09-07 04:26:59,100236
2020-09-07 04:27:59,100238
2020-09-07 04:28:59,100241
2020-09-07 04:29:59,100240
2020-09-07 04:30:59,100244
2020-09-07 04:31:59,100244
2020-09-07 04:32:59,100243
2020-09-07 04:33:59,100243
2020-09-07 04:34:59,100240
2020-09-07 04:35:59,100238
2020-09-07 04:36:59,100237
2020-09-07 04:37:59,100238
2020-09-07 04:38:59,100239
2020-09-07 04:39:59,100241
2020-09-07 04:40:59,100243
2020-09-07 04:41:59,100242
2020-09-07 04:42:59,100241
2020-09-07 04:43:59,100239
2020-09-07 04:44:59,100239
2020-09-07 04:45:59,100239
2020-09-07 04:46:59,100238
2020-09-07 04:47:59,100240
2020-09-07 04:48:59,100242
2020-09-07 04:49:59,100239
2020-09-07 04:50:59,100242
2020-09-07 04:51:59,100244
2020-09-07 04:52:59,100241
2020-09-07 04:53:59,100238
2020-09-07 04:54:59,100242
2020-09-07 04:55:59,100244
2020-09-07 04:56:59,100246
2020-09-07 04:57:59,100248
2020-09-07 04:58:59,100245
2020-09-07 04:59:59,100245
2020-09-07 05:00:59,100243
2020-09-07 05:01:59,100246
2020-09-07 05:02:59,100244
2020-09-07 05:03:59,100245
2020-09-07 05:04:59,100240
2020-09-07 05:05:59,100244
2020-09-07 05:06:59,100242
2020-09-07 05:07:59,100243
2020-09-07 05:08:59,100245
2020-09-07 05:09:59,100244
2020-09-07 05:11:00,100243
2020-09-07 05:12:00,100243
2020-09-07 05:13:00,100243
2020-09-07 05:14:00,100245
2020-09-07 05:15:00,100246
2020-09-07 05:16:00,100248
2020-09-07 05:17:00,100249
2020-09-07 05:18:00,100249
2020-09-07 05:19:00,100250
2020-09-07 05:20:00,100251
2020-09-07 05:21:00,100255
2020-09-07 05:22:00,100255
2020-09-07 05:23:00,100258
2020-09-07 05:24:00,100253
2020-09-07 05:25:00,100250
2020-09-07 05:26:00,100251
2020-09-07 05:27:00,100247
2020-09-07 05:28:00,100252
2020-09-07 05:29:00,100252
2020-09-07 05:30:00,100250
2020-09-07 05:31:00,100249
2020-09-07 05:32:00,100251
2020-09-07 05:33:00,100252
2020-09-07 05:34:00,100252
2020-09-07 05:35:00,100250
2020-09-07 05:36:00,100255
2020-09-07 05:37:00,100253
2020-09-07 05:38:00,100252
2020-09-07 05:39:00,100253
2020-09-07 05:40:00,100251
2020-09-07 05:41:00,100255
2020-09-07 05:42:00,100255
2020-09-07 05:43:00,100258
2020-09-07 05:44:00,100260
