ts,pa
2020-09-10 00:00:19,100090
2020-09-10 00:01:19,100090
2020-09-10 00:02:19,100090
2020-09-10 00:03:19,100088
2020-09-10 00:04:19,100089
2020-09-10 00:05:19,100088
2020-09-10 00:06:19,100085
2020-09-10 00:07:19,100086
2020-09-10 00:08:19,100085
2020-09-10 00:09:19,100087
2020-09-10 00:10:19,100088
2020-09-10 00:11:19,100089
2020-09-10 00:12:19,100090
2020-09-10 00:13:19,100089
2020-09-10 00:14:19,100090
2020-09-10 00:15:19,100090
2020-09-10 00:16:19,100087
2020-09-10 00:17:19,100087
2020-09-10 00:18:19,100085
2020-09-10 00:19:19,100085
2020-09-10 00:20:19,100084
2020-09-10 00:21:19,100079
2020-09-10 00:22:19,100074
2020-09-10 00:23:19,100078
2020-09-10 00:24:19,100077
2020-09-10 00:25:19,100073
2020-09-10 00:26:19,100075
2020-09-10 00:27:19,100073
2020-09-10 00:28:19,100069
2020-09-10 00:29:19,100069
2020-09-10 00:30:19,100074
2020-09-10 00:31:19,100074
2020-09-10 00:32:19,100077
2020-09-10 00:33:19,100073
2020-09-10 00:34:19,100073
2020-09-10 00:35:19,100073
2020-09-10 00:36:19,100074
2020-09-10 00:37:19,100068
2020-09-10 00:38:19,100066
2020-09-10 00:39:19,100069
2020-09-10 00:40:19,100068
2020-09-10 00:41:19,100071
2020-09-10 00:42:19,100072
2020-09-10 00:43:19,100071
2020-09-10 00:44:19,100076
2020-09-10 00:45:19,100074
2020-09-10 00:46:19,100075
2020-09-10 00:47:19,100077
2020-09-10 00:48:19,100073
2020-09-10 00:49:19,100075
2020-09-10 00:50:19,100072
2020-09-10 00:51:19,100076
2020-09-10 00:52:19,100072
2020-09-10 00:53:19,100071
2020-09-10 00:54:19,100072
2020-09-10 00:55:19,100068
2020-09-10 00:56:19,100068
2020-09-10 00:57:19,100074
2020-09-10 00:58:19,100069
2020-09-10 00:59:19,100073
2020-09-10 01:00:19,100073
2020-09-10 01:01:19,100077
2020-09-10 01:02:19,100077
2020-09-10 01:03:19,100075
2020-09-10 01:04:19,100077
2020-09-10 01:05:19,100080
2020-09-10 01:06:19,100079
2020-09-10 01:07:19,100080
2020-09-10 01:08:19,100079
2020-09-10 01:09:19,100082
2020-09-10 01:10:19,100080
2020-09-10 01:11:19,100084
2020-09-10 01:12:19,100083
2020-09-10 01:13:19,100082
2020-09-10 01:14:19,100084
2020-09-10 01:15:19,100085
2020-09-10 01:16:19,100085
2020-09-10 01:17:19,100088
2020-09-10 01:18:19,100090
2020-09-10 01:19:19,100089
2020-09-10 01:20:19,100087
2020-09-10 01:21:19,100085
2020-09-10 01:22:19,100085
2020-09-10 01:23:19,100085
2020-09-10 01:24:19,100088
2020-09-10 01:25:19,100088
2020-09-10 01:26:19,100088
2020-09-10 01:27:19,100088
2020-09-10 01:28:19,100086
2020-09-10 01:29:19,100088
2020-09-10 01:30:19,100089
2020-09-10 01:31:19,100087
2020-09-10 01:32:19,100086
2020-09-10 01:33:19,100087
2020-09-10 01:34:19,100092
2020-09-10 01:35:19,100092
2020-09-10 01:36:19,100092
2020-09-10 01:37:19,100094
2020-09-10 01:38:19,100094
2020-09-10 01:39:19,100099
2020-09-10 01:40:19,100099
2020-09-10 01:41:19,100099
2020-09-10 01:42:19,100098
2020-09-10 01:43:19,100101
2020-09-10 01:44:19,100105
2020-09-10 01:45:19,100103
2020-09-10 01:46:19,100106
2020-09-10 01:47:19,100107
